76% of Australians agree with you that the gap between rich and poor is too large,76% người Úc đồng ý với quý vị rằng khoảng cách về của cải giữa người giàu và người nghèo là quá lớn 
"Men are nearly twice as likely to disagree with you as women, while older Australians and Coalition voters are the groups most likely to disagree overall.","Nam giới có khả năng đồng ý với quý vị ở mức độ cao gần gấp đôi so với phụ nữ, trong khi những người Úc lớn tuổi hơn và những người bỏ phiếu cho Liên Đảng về tổng thể là nhóm có nhiều khả năng không đồng ý nhất. "
The gap in wealth between rich and poor Australians is too big.,Khoảng cách về của cải giữa những người Úc giàu và người Úc nghèo là quá lớn.
"Even among the highest-earning Australians, only 1 in 5 don't see inequality as an issue for the country.","Ngay cả trong số những người Úc có lợi tức cao nhất, thì chỉ một phần năm không thấy sự bất bình đẳng là một vấn đề đối với đất nước này."
You're in a small minority of Australians who don't think the gap between rich and poor is too large,Quý vị trong thiểu số nhỏ người Úc không nghĩ là khoảng cách giữa người giàu và người nghèo là quá lớn
"Men are nearly twice as likely to agree with you as women, while older Australians and Coalition voters are the groups most likely to agree with you on this one overall.","Nam giới có nhiều khả năng đồng ý với quý vị ở mức độ cao gần gấp đôi so với phụ nữ, trong khi những người Úc lớn tuổi hơn và những người bỏ phiếu cho Liên Đảng về tổng thể là nhóm có nhiều khả năng đồng ý nhất với quý vị về điều này. "
The gap in wealth between rich and poor Australians is too big.,Khoảng ccách về của cải giữa những người Úc giàu và người Úc nghèo là quá lớn.
"Even among the highest-earning Australians, only 1 in 5 don't see inequality as an issue for the country.","Ngay cả trong số những người Úc có lợi tức cao nhất, thì chỉ một phần năm không thấy sự bất bình đẳng là một vấn đề đối với đất nước này."
Most Australians think the gap between rich and poor is too large,Hầu hết người Úc nghĩ là khoảnng cách giữa người giàu và người nghèo là quá lớn
"But like you, just more than 1 in 10 people aren't sure.","Nhưng giống như quý vị, chỉ hơn một phần mười mọi người là không quả quyết."
The gap in wealth between rich and poor Australians is too big.,Khoảng cách về của cải giữa những người Úc giàu và người Úc nghèo là quá lớn.
"Even among the highest-earning Australians, only 1 in 5 don't see inequality as an issue for the country.","Ngay cả trong số những người Úc có lợi tức cao nhất, thì chỉ một phần năm không thấy sự bất bình đẳng là một vấn đề đối với đất nước này."
"In Australia, anyone who works hard enough can get out of poverty.","Ở Úc, bất kỳ ai làm việc chăm chỉ đều có thể thoát khỏi cảnh nghèo khó."
You are among the 40% of Australians who don't think hard work is a sure way out of poverty,Quý vị trong số 40% người Úc không nghĩ là làm việc chăm chỉ là cách chắc chắn để thoát khỏi cảnh nghèo khó
"The majority of Australians think the gap between rich and poor is too big, but the country is divided on whether hard work can change anyone's fortunes.","Đa phần người Úc nghĩ là khoảng cách giữa người giàu và người nghèo là quá lớn, nhưng đất nước này bị chia rẽ bởi việc liệu làm việc chăm chỉ có thể làm thay đổi số phận của bất kỳ ai không."
"In Australia, anyone who works hard enough can get out of poverty.","Ở Úc, bất kỳ ai làm việc chăm chỉ đều có thể thoát khỏi cảnh nghèo khó. "
Half of Australians agree with you that hard work can get anyone out of poverty,Một nửa người Úc đồng ý với quý vị là làm việc chăm chỉ thì bất kỳ ai cũng có thể thoát khỏi cảnh nghèo khó
"The majority of Australians think the gap between rich and poor is too big, but the country is divided on whether hard work can change anyone's fortunes.","Đa phần người Úc nghĩ là khoảng cách giữa người giàu và người nghèo là quá lớn, nhưng đất nước này bị chia rẽ bởi việc liệu làm việc chăm chỉ có thể làm thay đổi số phận của bất kỳ ai không."
"In Australia, anyone who works hard enough can get out of poverty.","Ở Úc, bất kỳ ai làm việc chăm chỉ đều có thể thoát khỏi cảnh nghèo khó. "
Australians are divided on whether hard work can change anyone's fortunes,Người Úc bị chia rẽ bởi việc liệu làm việc chăm chỉ có thể làm thay đổi số phận của bất kỳ ai không
"In Australia, anyone who works hard enough can get out of poverty.","Ở Úc, bất kỳ ai làm việc chăm chỉ đều có thể thoát khỏi cảnh nghèo khó. "
Australians need to take more responsibility for their own lives instead of relying on the government to fix everything for them.,Người Úc cần phải có trách nhiệm nhiều hơn về cuộc sống của mình thay vì trông nhờ Chính phủ sắp xếp mọi thứ cho mình.
You are among the [[X]]% of Australians your age who think people need to take more responsibility for their own lives,Quý vị trong số [[X]]% người Úc ở tuổi quý vị nghĩ là mọi người cần phải có trách nhiệm nhiều hơn về cuộc sống của mình
The view that more people need to step up and take responsibility for themselves is most strongly held among older Australians.,Quan điểm là thêm nhiều người hơn cần tích cực và có trách nhiệm với bản thân mình là quan điểm được tin vào nhiều nhất trong số những người Úc lớn tuổi hơn.
Australians need to take more responsibility for their own lives instead of relying on the government to fix everything for them.,Người Úc cần phải có trách nhiệm nhiều hơn về cuộc sống của mình thay vì trông nhờ Chính phủ sắp xếp mọi thứ cho mình.
You are among the [[X]]% of Australians your age who don't think people need to take more responsibility for their own lives.,Quý vị trong số [[X]]% người Úc ở tuổi quý vị không nghĩ là mọi người cần phải có trách nhiệm nhiều hơn về cuộc sống của mình.
The view that more people need to step up and take responsibility for themselves is most strongly held among older Australians.,Quan điểm là thêm nhiều người hơn cần tích cực và có trách nhiệm với bản thân mình là quan điểm được tin vào nhiều nhất trong số những người Úc lớn tuổi hơn.
Australians need to take more responsibility for their own lives instead of relying on the government to fix everything for them.,Người Úc cần phải có trách nhiệm nhiều hơn về cuộc sống của mình thay vì trông nhờ Chính phủ sắp xếp mọi thứ cho mình.
2 in 3 people think Australians need to take more personal responsibility for their own lives,Hai phần ba mọi người nghĩ là người ÚC cần có trách nhiệm nhiều hơn về cuộc sống của mình
The view that more people need to step up and take responsibility for themselves is most strongly held among older Australians.,Quan điểm là thêm nhiều người hơn cần tích cực và có trách nhiệm với bản thân mình là quan điểm được tin vào nhất trong số những người Úc lớn tuổi hơn.
Australians need to take more responsibility for their own lives instead of relying on the government to fix everything for them.,Người Úc cần phải có trách nhiệm nhiều hơn về cuộc sống của mình thay vì trông nhờ Chính phủ sắp xếp mọi thứ cho mình.
People who live outside Australia's big cities get a raw deal.,Những người sống bên ngoài các thành phố lớn của Úc bị đối xử không công bằng.
"2 in 3 Australians think that people who live outside our big cities get a raw deal, and you're with this clear majority","Hai phần ba người Úc nghĩ là những người sống bên ngoài các thành phố lớn của chúng ta bị đối xử không công bằng, và quý vị trong đa số rõ ràng này"
"The further you shift away from the CBDs of our big cities, the more likely people are to agree that those in regional and rural Australia have it tougher. But even inner-city folk are likely to agree.","Người ta càng ra xa khỏi CBD của các thành phố lớn của chúng ta, thì càng có nhiều khả năng đồng ý là những người ở nước Úc miền quê và xa xôi gặp nhiều khó khăn hơn. Nhưng ngay cả người dân nội đô cũng có khả năng đồng ý."
People who live outside Australia's big cities get a raw deal.,Những người sống bên ngoài các thành phố lớn của Úc bị đối xử không công bằng.
Only 1 in 3 Australians agree with you that regional and rural Australians are treated fairly,Chỉ một phần ba người Úc đồng ý với quý vị là người dân Úc miền quê và xa xôi bị đối xử bất công
"The further you shift away from the CBDs of our big cities, the more likely people are to agree that those in regional and rural Australia have it tougher. But even inner-city folk are likely to agree.","Người ta càng ra xa khỏi CBD của các thành phố lớn của chúng ta, thì càng có nhiều khả năng đồng ý là những người ở nước Úc miền quê và xa xôi gặp nhiều khó khăn hơn. Nhưng ngay cả người dân nội đô cũng có khả năng đồng ý."
People who live outside Australia's big cities get a raw deal.,Những người sống bên ngoài các thành phố lớn của Úc bị đối xử không công bằng.
2 in 3 Australians think that people who live outside our big cities get a raw deal,Hai phần ba người Úc nghĩ là những người sống bên ngoài các thành phố lớn của chúng ta bị đối xử không công bằng
"The further you shift away from the CBDs of our big cities, the more likely people are to agree that those in regional and rural Australia have it tougher. But even inner-city folk are likely to agree.","Người ta càng ra xa khỏi CBD của các thành phố lớn của chúng ta, thì càng có nhiều khả năng đồng ý là những người ở nước Úc miền quê và xa xôi có nhiều khó khăn hơn. Nhưng ngay cả người dân nội đô cũng có khả năng đồng ý."
People who live outside Australia's big cities get a raw deal.,Những người sống bên ngoài các thành phố lớn của Úc bị đối xử không công bằng.
Political correctness has gone too far in Australia.,Sự đúng đắn về chính trị đã đi quá xa ở Úc.
"Like 68% of Australians, you think political correctness has gone too far","Cũng như 68% người Úc, quý vị nghĩ là sự đúng đắn về chính trị đã đi quá xa"
"People's views on political correctness tend to be tightly linked to who they vote for, with Coalition and One Nation voters particularly likely to agree it has gone too far.","Quan điểm của mọi người về sự đúng đắn về chính trị có xu thế liên quan chặt chẽ với việc người ta bỏ phiếu cho ai, với những người bỏ phiếu cho Liên Đảng và Đảng Một Quốc gia đặc biệt có khả năng đồng ý rằng nó đã đi quá xa."
Political correctness has gone too far in Australia.,Sự đúng đắn về chính trị đã đi quá xa ở Úc.
"2 in 3 Australians think political correctness has gone too far, but you're not one of them","Hai phần ba người Úc nghĩ là sự đúng đắn về chính trị đã đi quá xa, nhưng quý vị không phải là một trong số họ"
"People's views on political correctness tend to be tightly linked to who they vote for, with Coalition and One Nation voters particularly likely to agree it has gone too far.","Quan điểm của mọi người về sự đúng đắn về chính trị có xu thế liên quan chặt chẽ với việc người ta bỏ phiếu cho ai, với những người bỏ phiếu cho Liên Đảng và Đảng Một Quốc gia đặc biệt có khả năng đồng ý rằng nó đã đi quá xa."
Political correctness has gone too far in Australia.,Sự đúng đắn về chính trị đã đi quá xa ở Úc.
68% of Australians think political correctness has gone too far,"68% người Úc, quý vị nghĩ là sự đúng đắn về chính trị đã đi quá xa"
"People's views on political correctness tend to be tightly linked to who they vote for, with Coalition and One Nation voters particularly likely to agree it has gone too far.","Quan điểm của mọi người về sự đúng đắn về chính trị có xu thế liên quan chặt chẽ với việc người ta bỏ phiếu cho ai, với những người bỏ phiếu cho Liên Đảng và Đảng Một Quốc gia đặc biệt có khả năng đồng ý rằng nó đã đi quá xa."
Political correctness has gone too far in Australia.,Sự đúng đắn về chính trị đã đi quá xa ở Úc.
There is still a lot of racism in Australia these days.,Hiện nay ở Úc vẫn còn nhiều hiện tượng phân biệt chủng tộc.
You're with 3 in 4 Australians who think there's a lot of racism in Australia,Quý vị trong số ba phần tư người Úc nghĩ là tại Úc còn nhiều hiện tượng phân biệt chủng tộc
A clear majority of people believe racism remains widespread in Australia in 2019. ,Một đa số rõ ràng trong mọi người cho là hiện tượng phân biệt chủng tộc vẫn tràn lan tại Úc trong năm 2019. 
,
"Those most likely to disagree with you are men, people who live in rural Australia and those over 75. But even in those groups, only one in five people don't think racism is prevalent.","Những người có khả năng không đồng ý với quý vị nhất là, nam giới, những người sống ở nước Úc miền quê và những người trên 75 tuổi. Nhưng ngay cả trong các nhóm này, chỉ một phần năm mọi người không nghĩ rằng hiện tượng phân biệt chủng tộc là tràn lan."
There is still a lot of racism in Australia these days.,Hiện nay ở Úc vẫn còn nhiều hiện tượng phân biệt chủng tộc.
You're among 15% of Australians who don't think there's a lot of racism in Australia,Quý vị trong số 15% người Úc không nghĩ là tại Úc còn nhiều hiện tượng phân biệt chủng tộc 
There is still a lot of racism in Australia these days.,Hiện nay ở Úc vẫn còn nhiều hiện tượng phân biệt chủng tộc.
"You're not too sure whether there's a lot of racism in Australia, but 3 in 4 Australians say there is","Quý vị không biết chắc chắn liệu tại Úc có nhiều hiện tượng phân biệt chủng tộc không, nhưng ba phần tư người Úc nói là còn nhiều"
"Those most likely to say there's not a lot of racism are men, people who live in rural Australia and those over 75. But even in those groups, only one in five people don't think racism is widespread.","Những người có nhiều khả năng nhất trong việc nói rằng không có nhiều hiện tượng phân biệt chủng tốc là nam giới, những người sống ở nước Úc miền quê và những người trên 75 tuổi. Nhưng ngay cả trong các nhóm này, chỉ một phần năm mọi người không nghĩ rằng hiện tượng phân biệt chủng tộc là tràn lan."
There is still a lot of racism in Australia these days.,Hiện nay ở Úc vẫn còn nhiều hiện tượng phân biệt chủng tộc.
White people have an unfair advantage in Australia.,Người da trắng có một lợi thế bất công ở Úc.
You're among 56% of Australians who think white people have an unfair advantage in Australia,Quý vị trong số 56% người Úc nghĩ là người da trắng có một lợi thế bất công ở Úc
That figure climbs to 65% among Australians who have non-European backgrounds. Women are more inclined to agree with your view than men are.,"Con số này tăng lên thành 65% trong số người Úc có nguồn gốc không phải Châu Âu. Phụ nữ có chiều hướng nhiều hơn so với nam giới, trong việc đồng ý với quan điểm của quý vị. "
White people have an unfair advantage in Australia.,Người da trắng có một lợi thế bất công ở Úc.
You're among 30% of Australians who think white people do not have an unfair advantage in Australia,Quý vị trong số 30% người Úc nghĩ là người da trắng không có một lợi thế bất công ở Úc
That figure but falls to 21% among Australians who have non-European backgrounds. Men are more inclined to agree with your view than women are.,"Nhưng con số này giảm xuống còn 21% trong số người Úc có nguồn gốc không phải Châu Âu. Nam giới có chiều hướng nhiều hơn so với phụ nữ, trong việc đồng ý với quan điểm của quý vị. "
White people have an unfair advantage in Australia.,Người da trắng có một lợi thế bất công ở Úc.
56% of Australians think white people have an unfair advantage in Australia,56% người Úc nghĩ là người da trắng có một lợi thế bất công ở Úc
"That figure climbs to 65% among Australians who have non-European backgrounds, and 64% among women.",Con số này tăng lên thành 65% trong số người Úc có nguồn gốc không phải Châu Âu và 64% trong số phụ nữ.
White people have an unfair advantage in Australia.,Người da trắng có một lợi thế bất công ở Úc.
Most immigrants these days don’t try hard enough to fit into Australian society.,Hiện nay hầu hết di dân không chịu cố gắng hết sức để hoà nhập vào xã hội Úc.
You and [[x]]% of people your age agree that most immigrants don't do enough to fit into Australian society,Quý vị và [[x]]% mọi người ở tuổi quý vị đồng ý là hầu hết di dân không chịu cố gắng hết sức để hoà nhập vào xã hội Úc
"That view increases with age. Overall, 50% of Australians don't think immigrants need to try harder to fit into life in Australia.","Quan điểm đó tăng lên theo tuổi tác. Về tổng thể, 50% người Úc không nghĩ là các di dân cần cố gắng nhiều hơn nữa để hòa nhập vào đời sống tại Úc."
Most immigrants these days don't try hard enough to fit into Australian society.,Hiện nay hầu hết di dân không chịu cố gắng hết sức để hoà nhập vào xã hội Úc.
You and [[x]]% of people your age think that most immigrants are doing enough to fit into Australian society,Quý vị và [[x]]% mọi người ở tuổi quý vị nghĩ là hầu hết di dân đang làm đủ để hoà nhập vào xã hội Úc
"That view goes down with age. Overall, 50% of Australians don't think immigrants need to try harder to fit into life in Australia.","Quan điểm đó giảm đi theo tuổi tác. Về tổng thể, 50% người Úc không nghĩ là các di dân cần cố gắng nhiều hơn nữa để hòa nhập vào đời sống tại Úc."
Most immigrants these days don't try hard enough to fit into Australian society.,Hiện nay hầu hết di dân không chịu cố gắng hết sức để hoà nhập vào xã hội Úc.
50% of Australians think that most immigrants are doing enough to fit into Australian society,50% người Úc nghĩ là hầu hết di dân đang làm đủ để hoà nhập vào xã hội Úc
Older Australians are less likely to agree with that perspective.,Những người Úc lớn tuổi hơn ít có khả năng đồng ý với quan điểm này hơn.
Most immigrants these days don't try hard enough to fit into Australian society.,Hiện nay hầu hết di dân không chịu cố gắng hết sức để hoà nhập vào xã hội Úc.
Australia must do more to address past and current injustices against Indigenous people.,Úc phải làm nhiều hơn để giải quyết sự bất công trước kia và hiện nay đối với người Thổ dân. 
"Like you, nearly 2 in 3 Australians think Australia must do more to address injustices against Indigenous people","Cũng như quý vị, gần hai phần ba người Úc nghĩ là Úc phải làm nhiều hơn để giải quyết sự bất công đối với người Thổ dân"
"Agreement is highest among voters for Labor and the Greens, as well as women and people under 30.","Tỉ lệ đồng ý cao nhất là trong số những người bỏ phiếu cho Đảng Lao động và Đảng Xanh, phụ nữ và những người dưới 30 tuổi."
Australia must do more to address past and current injustices against Indigenous people.,Úc phải làm nhiều hơn để giải quyết sự bất công trước kia và hiện nay đối với người Thổ dân.
You're among 1 in 5 people who don't agree that Australia needs to do more to address injustices against Indigenous people,Quý vị trong số một phần năm những người không đồng ý là Úc phải làm nhiều hơn để giải quyết sự bất công đối với người Thổ dân
"The people most likely to agree with you are Australians older than 50, those who live in rural and regional areas, and voters for One Nation and the Coalition.","Những người có nhiều khả năng đồng nhất với quý vị là những người Úc trên 50 tuổi, những người sống tại các khu vực miền quê và xa xôi, và những người bỏ phiếu cho Đảng Một Quốc gia và Liên Đảng."
Australia must do more to address past and current injustices against Indigenous people.,Úc phải làm nhiều hơn để giải quyết sự bất công trước kia và hiện nay đối với người Thổ dân.
Nearly 2 in 3 Australians think Australia must do more to address injustices against Indigenous people,Gần hai phần ba người Úc nghĩ là Úc phải làm nhiều hơn để giải quyết sự bất công đối với người Thổ dân
"Agreement is highest among voters for Labor and the Greens, as well as women and people under 30.","Tỉ lệ đồng ý cao nhất là trong số những người bỏ phiếu cho Đảng Lao động và Đảng Xanh, phụ nữ và những người dưới 30 tuổi."
Australia must do more to address past and current injustices against Indigenous people.,Úc phải làm nhiều hơn để giải quyết sự bất công trước kia và hiện nay đối với người Thổ dân.
"Australia Day should not be celebrated on January 26, given the historical significance of that date for Indigenous people.","Không nên kỷ niệm ngày Quốc khánh Úc vào ngày 26 tháng 1, xét về ý nghĩa lịch sử của ngày đó đối với người Thổ dân."
You're among the 43% of Australians who agree that Australia Day should not be celebrated on January 26,Quý vị trong số 43% người Úc đồng ý là không nên kỷ niệm ngày Quốc khánh Úc vào ngày 26 tháng 1
"Australia Day should not be celebrated on January 26, given the historical significance of that date for Indigenous people.","Không nên kỷ niệm ngày Quốc khánh Úc vào ngày 26 tháng 1, xét về ý nghĩa lịch sử của ngày đó đối với người Thổ dân."
You're among the 40% of Australians who support keeping Australia Day on January 26,Quý vị trong số 40% người Úc ủng hộ việc giữ ngày Quốc khánh Úc vào ngày 26 tháng 1
"Australia Day should not be celebrated on January 26, given the historical significance of that date for Indigenous people.","Không nên kỷ niệm ngày Quốc khánh Úc vào ngày 26 tháng 1, xét về ý nghĩa lịch sử của ngày đó đối với người Thổ dân."
Australians are almost evenly split on whether Australia Day should be celebrated on January 26,Người Úc bị chia rẽ gần như đồng đều bởi vấn đề liệu có nên kỷ niệm ngày Quốc khánh Úc vào ngày 26 tháng 1
"Australia Day should not be celebrated on January 26, given the historical significance of that date for Indigenous people.","Không nên kỷ niệm ngày Quốc khánh Úc vào ngày 26 tháng 1, xét về ý nghĩa lịch sử của ngày đó đối với người Thổ dân."
How frequently do you think people in Australia are discriminated against on the basis of...?,"Theo quý vị, người dân ở Úc bị phân biệt đối xử thường xuyên ở mức độ nào do ...?"
Sex,Giới tính
Ethnicity,Sắc tộc
Religion,Tôn giáo
Indigenous heritage,Di sản thổ dân
Sexual orientation,Khuynh hướng tình dục
Gender identity,Bản sắc giới tính 
Disability,Khuyết tật
Social or economic class,Tầng lớp xã hội hay kinh tế
Physical appearance,Ngoại hình
Political views,Quan điểm chính trị
Age,Tuổi tác
You are in the 30% of Aussies who think that people in Australia are often discriminated against on the basis of religion,Quý vị trong số 30 người Úc nghĩ là mọi người ở Úc thường bị phân biệt đối xử trên cơ sở tôn giáo
"Most Australians, including those with no religion, agree that people are being discriminated against on religious grounds at least occasionally.","Hầu hết người Úc, bao gồm những người không có tôn giáo, đồng ý là mọi người bị phân biệt đối xử trên cơ sở tôn giáo, ít nhất ở mức độ thi thoảng."
How frequently do you think people in Australia are being discriminated against on the basis of religion?,"Theo quý vị, người dân ở Úc bị phân biệt đối xử thường xuyên ở mức độ nào trên cơ sở tôn giáo?"
You are in the 41% of people who think that people in Australia are occasionally discriminated against on the basis of religion,Quý vị trong số 41% người Úc nghĩ là mọi người ở Úc đôi khi bị phân biệt đối xử trên cơ sở tôn giáo
"Most Australians, including those with no religion, agree that people are being discriminated against on religious grounds at least occasionally.","Hầu hết người Úc, bao gồm những người không có tôn giáo, đồng ý là mọi người bị phân biệt đối xử trên cơ sở tôn giáo, ít nhất ở mức độ thi thoảng."
How frequently do you think people in Australia are being discriminated against on the basis of religion?,"Theo quý vị, người dân ở Úc bị phân biệt đối xử thường xuyên ở mức độ nào trên cơ sở tôn giáo?"
You are in the 25% of people who think that people in Australia are rarely discriminated against on the basis of religion,Quý vị trong số 25% mọi người nghĩ là người dân ở Úc hiếm khi bị phân biệt đối xử trên cơ sở tôn giáo
"Most Australians, including those with no religion, agree that people are being discriminated against on religious grounds at least occasionally.","Hầu hết người Úc, bao gồm những người không có tôn giáo, đồng ý là mọi người bị phân biệt đối xử trên cơ sở tôn giáo, ít nhất ở mức độ thi thoảng."
How frequently do you think people in Australia are being discriminated against on the basis of religion?,"Theo quý vị, người dân ở Úc bị phân biệt đối xử thường xuyên ở mức độ nào trên cơ sở tôn giáo?"
You are in the 5% of people who think that people in Australia are never discriminated against on the basis of religion,Quý vị trong số 5% mọi người nghĩ là người dân ở Úc không bao giờ bị phân biệt đối xử trên cơ sở tôn giáo
"Most Australians, including those with no religion, agree that people are being discriminated against on religious grounds at least occasionally.","Hầu hết người Úc, bao gồm những người không có tôn giáo, đồng ý là mọi người bị phân biệt đối xử trên cơ sở tôn giáo, ít nhất ở mức độ thi thoảng."
How frequently do you think people in Australia are being discriminated against on the basis of religion?,"Theo quý vị, người dân ở Úc bị phân biệt đối xử thường xuyên ở mức độ nào trên cơ sở tôn giáo?"
Changing expectations around gender roles in Australia have made life more difficult for men.,Những kỳ vọng đang thay đổi tại Úc quanh vai trò của giới tính đã làm cho cuộc sống trở nên khó khăn hơn cho nam giới.
You're among 27% of women who think changing gender roles have made life more difficult for men,Quý vị trong số 27% phụ nữ nghĩ là vai trò của giới tính đang thay đổi đã làm cho cuộc sống trở nên khó khăn hơn cho nam giới.
That figure rises to 44% agreement among men.,Con số đó tăng đến một tỉ lệ đồng ý là 44% trong số nam giới.
Changing expectations around gender roles in Australia have made life more difficult for men.,Những kỳ vọng đang thay đổi tại Úc quanh vai trò của giới tính đã làm cho cuộc sống trở nên khó khăn hơn cho nam giới.
You're among 57% of women who do not think changing expectations around gender roles have made life more difficult for men,Quý vị trong số 57% phụ nữ không nghĩ là những kỳ vọng đang thay đổi quanh vai trò của giới tính đã làm cho cuộc sống trở nên khó khăn hơn cho nam giới
That figure falls to 37% among men.,Con số đó giảm xuống còn 37% trong số nam giới.
Changing expectations around gender roles in Australia have made life more difficult for men.,Những kỳ vọng đang thay đổi tại Úc quanh vai trò của giới tính đã làm cho cuộc sống trở nên khó khăn hơn cho nam giới.
You're among 44% of men who think changing gender roles have made life more difficult for men,Quý vị trong số 44% nam giới nghĩ là vai trò của giới tính đang thay đổi đã làm cho cuộc sống trở nên khó khăn hơn cho nam giới
That figure falls to 27% among women.,Con số đó giảm xuống còn 27% trong số phụ nữ.
Changing expectations around gender roles in Australia have made life more difficult for men.,Những kỳ vọng đang thay đổi tại Úc quanh vai trò của giới tính đã làm cho cuộc sống trở nên khó khăn hơn cho nam giới.
You're among 37% of men who do not think changing expectations around gender roles have made life more difficult for men,Quý vị trong số 37% nam giới không nghĩ là những kỳ vọng đang thay đổi quanh vai trò của giới tính đã làm cho cuộc sống trở nên khó khăn hơn cho nam giới
That figure rises to 57% among women.,Con số đó tăng lên thành 57% trong số phụ nữ.
Changing expectations around gender roles in Australia have made life more difficult for men.,Những kỳ vọng đang thay đổi tại Úc quanh vai trò của giới tính đã làm cho cuộc sống trở nên khó khăn hơn cho nam giới.
Have changing gender roles in Australia have made life more difficult for men? Men are more likely to think so,"Tại Úc, vai trò của giới tính đang thay đổi có làm cho cuộc sống trở nên khó khăn hơn cho nam giới không? Nam giới có nhiều khả năng nghĩ như vậy hơn"
Changing expectations around gender roles in Australia have made life more difficult for men.,Những kỳ vọng đang thay đổi tại Úc quanh vai trò của giới tính đã làm cho cuộc sống trở nên khó khăn hơn cho nam giới.
Men and women are treated equally in Australian society.,Nam giới và phụ nữ được đối xử bình đẳng trong xã hội Úc.
"Like 75% of women, you say men and women are not treated equally in Australia","Giống như 75% phụ nữ, quý vị nói là nam giới và phụ nữ không được đối xử bình đẳng tại Úc"
Only 48% of men agree with you.,Chỉ 48% nam giới đồng ý với quý vị.
Men and women are treated equally in Australian society.,Nam giới và phụ nữ được đối xử bình đẳng trong xã hội Úc.
"Unlike 75% of women, you think men and women are treated equally in Australian society","Không như 75% phụ nữ, quý vị nghĩ là nam giới và phụ nữ được đối xử bình đẳng trong xã hội Úc"
"Men are much more likely to share that view, with 42% in agreement.","Nam giới có nhiều khả năng chia sẻ quan điểm đó hơn, với 42% đồng ý."
Men and women are treated equally in Australian society.,Nam giới và phụ nữ được đối xử bình đẳng trong xã hội Úc.
"Like 48% of men, you think men and women do not get equal treatment in Australian society","Không như 48% nam giới, quý vị nghĩ là nam giới và phụ nữ không được đối xử bình đẳng trong xã hội Úc"
"Women are even more likely to agree with you on this, with 75% saying treatment is not equal.","Phụ nữ thậm chí có nhiều khả năng đồng ý với quý vị hơn về quan điểm này, với 75% nói việc đối xử là không bình đẳng."
Men and women are treated equally in Australian society.,Nam giới và phụ nữ được đối xử bình đẳng trong xã hội Úc.
"Like 42% of men, you think men and women are treated equally in Australian society","Giống như 42% nam giới, quý vị nghĩ là nam giới và phụ nữ được đối xử bình đẳng trong xã hội Úc"
Only 18% of women agree with you on this one.,Chỉ 18% phụ nữ đồng ý với quý vị về quan điểm này.
Men and women are treated equally in Australian society.,Nam giới và phụ nữ được đối xử bình đẳng trong xã hội Úc.
62% of people say Australia is not there yet on gender equality,62% mọi người nói là Úc vẫn chưa đạt đến sự bình đẳng giới tính
"75% of women say men and women aren't treated equally in Australia, a perspective shared by just under half of men.","75% phụ nữ nói là nam giới và phụ nữ không được đối xử bình đẳng tại Úc, một quan điểm được xấp xỉ một nửa số nam giới chia sẻ."
Men and women are treated equally in Australian society.,Nam giới và phụ nữ được đối xử bình đẳng trong xã hội Úc.
Smacking a child is an acceptable form of discipline.,Đánh con là một hình thức kỷ luật có thể chấp nhận được.
It's the sound that divides a nation... You're with 38% of Australians who think smacking kids is not on,Nghe có vẻ việc này gây chia rẽ quốc gia... Quý vị đang cùng với 38% người Úc khác cho rằng đánh con là việc không thể chấp nhận được
Smacking a child is an acceptable form of discipline.,Đánh con là một hình thức kỷ luật có thể chấp nhận được.
You're with 16% of people who are on the fence when it comes to whether smacking a child is okay,Quý vị đang cùng với 16% người khác đứng trung dung ở giữa khi bàn đến việc liệu đánh con có phải là việc có thể chấp nhận được không
Religious people tend to be more in favour of smacking as a form of discipline than the non-religious and overall 47% of Australians think it's acceptable.,"Những người theo tôn giáo có xu hướng ủng hộ việc đánh con như một hình thức kỷ luật hơn, so với những người không có tôn giáo và về tổng thể, 47% người Úc cho rằng việc này là có thể chấp nhận được."
Smacking a child is an acceptable form of discipline.,Đánh con là một hình thức kỷ luật có thể chấp nhận được.
It's the sound that divides a nation... You're with 47% of Australians who think smacking kids is acceptable,Nghe có vẻ việc này gây chia rẽ quốc gia... Quý vị đang cùng với 47% người Úc khác cho rằng đánh con là việc có thể chấp nhận được
Smacking a child is an acceptable form of discipline.,Đánh con là một hình thức kỷ luật có thể chấp nhận được.
Having children is necessary in order to find fulfilment in life.,Có con là điều cần thiết để cảm thấy trọn vẹn trong cuộc sống.
Are kids necessary for a fulfilling life? You and 18% of the population tend to think so,Con cái có phải là cần thiết để cuộc sống trở nên trọn vẹn không? Quý vị và 18% dân số có xu hướng nghĩ như vậy
"But a majority of people disagree with you, including about three-quarters of women.","Nhưng đa phần mọi người không đồng ý với quý vị, bao gồm khoảng ba phần tư phụ nữ."
Having children is necessary in order to find fulfilment in life.,Có con là điều cần thiết để cảm thấy trọn vẹn trong cuộc sống.
"Are kids necessary for a fulfilling life? No, they're not, according to you and 63% of the population","Con cái có phải là cần thiết để cuộc sống trở nên trọn vẹn không? Không, không cần thiết, theo quý vị và 63% dân số"
"About three-quarters of women agree with you, compared to just over half of men.","Khoảng ba phần tư phụ nữ đồng ý với quý vị, so với hơn một nửa số nam giới."
Having children is necessary in order to find fulfilment in life.,Có con là điều cần thiết để cảm thấy trọn vẹn trong cuộc sống.
